id,name,slug,sku,price,regular_price,sale_price,stock,stock_status,weight,categories,description,short_description,image_urls,old_url
10931,MAGICSHINE Front Light ALLTY 1000 Bike Light,magicshine-front-light-allty-1000-bike-light,,129,129,,,instock,,Accessories > Lights; Brands > MagicShine; Accessories,,"<p style=\""text-align: center;\"">MAGICSHINE Front Light ALLTY 1000 Bike Light</p>\r\nAll in one design road bike light with independent DRL(Daytime Running Light) Allty 1000 is great for commuters as ",http://cranks.com.au/wp-content/uploads/2023/05/37567.png|http://cranks.com.au/wp-content/uploads/2023/05/37571.png|http://cranks.com.au/wp-content/uploads/2023/05/37573.png|http://cranks.com.au/wp-content/uploads/2023/05/37581.png,/product/magicshine-front-light-allty-1000-bike-light/
10936,MAGICSHINE Front Light RN 1200 Bike Light,magicshine-front-light-rn-1200-bike-light,,135,135,,,instock,,Accessories > Lights; Brands > MagicShine; Accessories,,"<p style=\""text-align: center;\"">MAGICSHINE Front Light RN 1200 Bike Light</p>\r\nThe RN 1200 stands out due to its high-quality workmanship and elegant surfaces. The elegant and versatile LED lamp in",http://cranks.com.au/wp-content/uploads/2023/05/39771.jpg|http://cranks.com.au/wp-content/uploads/2023/05/39774.jpg|http://cranks.com.au/wp-content/uploads/2023/05/39773.jpg,/product/magicshine-front-light-rn-1200-bike-light/
10946,MAGICSHINE Rear Light - SeeMee 30 Bike Light,magicshine-rear-light-seemee-30-bike-light,,35,35,,,instock,,Accessories > Lights; Brands > MagicShine; Accessories,,"<p style=\""text-align: center;\"">MAGICSHINE Rear Light - SeeMee 30 Bike Light</p>\r\nMagicshine new bike tail light, Seemee 30, comes in a front/rear combo kit or a standalone tail light. Small, light",http://cranks.com.au/wp-content/uploads/2023/05/24337.jpg|http://cranks.com.au/wp-content/uploads/2023/05/25225.jpg|http://cranks.com.au/wp-content/uploads/2023/05/25476.jpg|http://cranks.com.au/wp-content/uploads/2023/05/10.jpg,/product/magicshine-rear-light-seemee-30-bike-light/
10951,MAGICSHINE Rear Light - SeeMee 60 - Brake Sensor Bike Light,magicshine-rear-light-seemee-60-brake-sensor-bike-light,,59,65,59,,instock,,Accessories > Lights; Brands > MagicShine; Accessories,,"<p style=\""text-align: center;\"">MAGICSHINE Rear Light - SeeMee 60 - Brake Sensor Bike Light</p>\r\nSeemee 60 has internal brake sensor. A sleep mode is triggered after one minute of inaction to save ",http://cranks.com.au/wp-content/uploads/2023/05/24364.png|http://cranks.com.au/wp-content/uploads/2023/05/16926.jpg|http://cranks.com.au/wp-content/uploads/2023/05/10559.jpg,/product/magicshine-rear-light-seemee-60-brake-sensor-bike-light/
10955,MAGICSHINE Rear Light SeeMee 150 Brake & Ambient Light Sensor Bike Light,magicshine-rear-light-seemee-150-brake-ambient-light-sensor-bike-light,,69,75,69,,instock,,Accessories > Lights; Brands > MagicShine; Accessories,,"<p style=\""text-align: center;\"">MAGICSHINE Rear Light SeeMee 150 Brake &amp; Ambient Light Sensor Bike Light</p>\r\n<strong>The SEEMEE 150 TL </strong>is an intelligent tail light that offers smart i",http://cranks.com.au/wp-content/uploads/2023/05/39780.jpg|http://cranks.com.au/wp-content/uploads/2023/05/39781.jpg,/product/magicshine-rear-light-seemee-150-brake-ambient-light-sensor-bike-light/
11003,Focus Atlas 8.7 Gravel Bike,focus-atlas-8-7-gravel-bike,,3499,4499,3499,,instock,,Bikes; Brands > Focus,"Colour: Black\r
\r
Sizes\r
\r
XS - 48\r
\r
S - 51\r
\r
M - 54\r
\r
L - 57\r
\r
XL - 60\r
\r
<img src=\""https://images.pondigital.solutions/cdn-cgi/image/format=auto,quality=auto/https://www.focus-bikes.com/media/family/atlas/1012978_MY23-Familypage-bottom_Gravel_Atlas_1900x590.jpg\"" />\r
\r
&nbsp;\r
\r
&nbsp;\r
\r
&nbsp;","<p style=\""text-align: center;\"">Focus Atlas 8.7 Gravel Bike</p>\r\n<p style=\""text-align: center;\""><strong>XS in stock</strong></p>\r\n\r\n<h4>ATLAS 8.7 FEATURES</h4>\r\nLIGHT CARBON FRAME AND CLEAN",http://cranks.com.au/wp-content/uploads/2023/05/1280_UUDE6DynB5V01AvM.png|http://cranks.com.au/wp-content/uploads/2023/05/1280_ksz6dHAtWJ85ohfk.png|http://cranks.com.au/wp-content/uploads/2023/05/1280_UG5lwnxJ64432rle.png,/product/focus-atlas-8-7-gravel-bike/
11016,Radio 26 Fiend Dirt Jumper Bike,radio-26-fiend-dirt-jumper-bike,,999,999,,,instock,,10-15 Yrs; Bikes; Brands > Radio Bike Co,"<div><strong>Frame</strong> - Radio “fiend” frame, 6061-t6 alloy, tapered head tube</div>\r
<div><strong>Fork</strong> - RST “omega t26” fork, 100mm travel</div>\r
<div><strong>Handlebar</strong> - Radio “asura” bar, 6061-t6 alloy, 31.8mm</div>\r
<div><strong>Grips</strong> - Radio “frequency xl” grips, flangeless, 160mm</div>\r
<div><strong>Stem </strong>- Radio “dj” frontload stem, alloy, 40mm reach</div>\r
<div><strong>Headset</strong> - FSA “no.57e” integrated a-headset, 1-1/8″-1.5″</div>\r
","<p style=\""text-align: center;\"">Radio 26\"" Fiend Dirt Jumper Bike</p>\r\nFor those times when bigger is better, Radio offers a full range of 26” bikes, ready for serious all-terrain fun. The 26” fien",http://cranks.com.au/wp-content/uploads/2023/05/68FD2937-4646-4C69-97A0-F3898C447367.png|http://cranks.com.au/wp-content/uploads/2023/05/A232C437-1226-4509-8102-D7996760F2B1.png|http://cranks.com.au/wp-content/uploads/2023/05/Radio_MY21_Fiend_26_candy_blue-11-2048x1366-1.jpg|http://cranks.com.au/wp-content/uploads/2023/05/Radio_MY21_Fiend_26_candy_blue-13-2048x1366-1.jpg|http://cranks.com.au/wp-content/uploads/2023/05/Radio_MY21_Fiend_26_candy_blue-12-2048x1366-1.jpg|http://cranks.com.au/wp-content/uploads/2023/05/Radio_MY21_Fiend_26_candy_blue-14-2048x1366-1.jpg,/product/radio-26-fiend-dirt-jumper-bike/
11117,Limar Champ Helmet 52-58cm,limar-champ-helmet-52-58cm,,95,95,,,instock,,Helmets > Kids helmets; Helmets; Brands > Limar,"<table style=\""height: 688px;\"" border=\""1\"" width=\""459\"" cellpadding=\""8\"">\r
<tbody>\r
<tr>\r
<th><strong>TECHNOLOGY</strong></th>\r
<td>Monoshell in-mould</td>\r
</tr>\r
<tr>\r
<th><strong>AIR VENTS</strong></th>\r
<td>10 air vents</td>\r
</tr>\r
<tr>\r
<th><strong>SIZING SYSTEM</strong></th>\r
<td>Competition + Fit-System with height adjustment and webbing connection</td>\r
</tr>\r
<tr>\r
<th><strong>PADS</strong></th>\r
<td>Antibacterial and washable comfort pads</td>\r
</tr>\r
<tr>\r
<th>","Limar Champ Helmet 52-58cm\r\n\r\n<strong>Limar Champ Kids Bike Helmet</strong> is an excellent, high quality choice for young bikers in the family. The Limar Kids Helmet offers protection, ensuring g",http://cranks.com.au/wp-content/uploads/2023/07/LIM6105.jpg|http://cranks.com.au/wp-content/uploads/2023/07/LIM6104.jpg|http://cranks.com.au/wp-content/uploads/2023/07/LIM6106.jpg,/product/limar-champ-helmet-52-58cm/
11119,Bontrager Tyro Youth Bike Helmet,bontrager-tyro-youth-bike-helmet,,79,79,,,instock,,Helmets > Kids helmets; Helmets; Brands > Bontager,"<table class=\""sprocket__table sprocket__table--vstripe spec\"" data-v-96eb6bec=\""\"" aria-label=\""Product specifications table\"">\r
<thead data-v-96eb6bec=\""\"">\r
<tr data-v-96eb6bec=\""\"">\r
<th scope=\""row\"" data-v-96eb6bec=\""\"">Size</th>\r
<td data-v-96eb6bec=\""\"" data-spec=\""Size\"">Youth</td>\r
</tr>\r
</thead>\r
<tbody data-v-96eb6bec=\""\"">\r
<tr data-v-96eb6bec=\""\"">\r
<th scope=\""row\"" data-v-96eb6bec=\""\"">Circumference</th>\r
<td data-v-96eb6bec=\""\"" data-spec=\""Circumference\"">50-55 cm</t","<div class=\""cell small-12 medium-6 mb-2\"" data-v-96eb6bec=\""\"" data-v-1fc85e7b=\""\"">\r\n<h3 class=\""header--lg mb-1\"" data-v-96eb6bec=\""\"" data-v-1fc85e7b=\""\"">Ready to ride with the grown-ups</h3>\r",http://cranks.com.au/wp-content/uploads/2023/07/BontragerTyroYouthHelmetQAS_31206_H_Primary.webp|http://cranks.com.au/wp-content/uploads/2023/07/BontragerTyroYouthHelmetQAS_31206_F_Primary.webp|http://cranks.com.au/wp-content/uploads/2023/07/BontragerTyroYouthHelmetQAS_31206_B_Primary.webp|http://cranks.com.au/wp-content/uploads/2023/07/BontragerTyroYouthHelmetQAS_31206_I_Primary.webp,/product/bontrager-tyro-youth-bike-helmet/
11131,Met Eldar MTB Helmet,met-eldar-mtb-helmet,,99,99,,,instock,,Helmets > Kids helmets; Helmets; Brands > Met; Helmets > Recreational helmets,52/57cm,"&nbsp;\r\n\r\nThe MET Eldar is a MTB helmet designed for young riders. High in style and protection it’s ready for our smaller riders who want to follow in our footsteps.\r\n<h3 class=\""features-carou",http://cranks.com.au/wp-content/uploads/2023/07/MT3HM117UNLW1.tag_.0.ext_.jpg|http://cranks.com.au/wp-content/uploads/2023/07/MT3HM117UNPK.png|http://cranks.com.au/wp-content/uploads/2023/07/MT3HM117UNNE.tag_.0.ext_.jpg|http://cranks.com.au/wp-content/uploads/2023/07/MT3HM117UNBL2.tag_.0.jpg,/product/met-eldar-mtb-helmet/
